Move;Type;German;French;Spanish;Italian;Japanese;Korean;Chinese;Chinese 2
Heal Order;Bug;Heilbefehl;Appel Soins;Auxilio;Comandocura;かいふくしれい;회복지령;回复指令;回復指令
Head Smash;Rock;Kopfstoß;Fracass'Tête;Testarazo;Zuccata;もろはのずつき;양날박치기;双刃头锤;雙刃頭錘
Double Hit;Normal;Doppelschlag;Coup Double;Doble Golpe;Doppiosmash;ダブルアタック;더블어택;二连击;二連擊
Roar of Time;Dragon;Zeitenlärm;Hurle-Temps;Distorsión;Fragortempo;ときのほうこう;시간의포효;时光咆哮;時光咆哮
Spacial Rend;Dragon;Raumschlag;Spatio-Rift;Corte Vacío;Fendispazio;あくうせつだん;공간절단;亚空裂斩;亞空裂斬
Lunar Dance;Psychic;Lunartanz;Danse Lune;Danza Lunar;Lunardanza;みかづきのまい;초승달춤;新月舞;新月舞
Crush Grip;Normal;Quetschgriff;Presse;Agarrón;Sbriciolmano;にぎりつぶす;묵사발;捏碎;捏碎
Magma Storm;Fire;Lavasturm;Vortex Magma;Lluvia Ígnea;Magmaclisma;マグマストーム;마그마스톰;熔岩风暴;熔岩風暴
Dark Void;Dark;Schlummerort;Trou Noir;Brecha Negra;Vuototetro;ダークホール;다크홀;暗黑洞;暗黑洞
Seed Flare;Grass;Schocksamen;Fulmigraine;Fulgor Semilla;Infuriaseme;シードフレア;시드플레어;种子闪光;種子閃光
Ominous Wind;Ghost;Unheilböen;Vent Mauvais;Viento Aciago;Funestovento;あやしいかぜ;괴상한바람;奇异之风;奇異之風
Shadow Force;Ghost;Schemenkraft;Revenant;Golpe Umbrío;Oscurotuffo;シャドーダイブ;섀도다이브;暗影潜袭;暗影潛襲
Hone Claws;Dark;Klauenwetzer;Aiguisage;Afilagarras;Unghiaguzze;つめとぎ;손톱갈기;磨爪;磨爪
Wide Guard;Rock;Rundumschutz;Garde Large;Vasta Guardia;Bodyguard;ワイドガード;와이드가드;广域防守;廣域防守
Guard Split;Psychic;Schutzteiler;Partage Garde;Isoguardia;Paridifesa;ガードシェア;가드셰어;防守平分;防守平分
Power Split;Psychic;Kraftteiler;Partage Force;Isofuerza;Pariattacco;パワーシェア;파워셰어;力量平分;力量平分
Wonder Room;Psychic;Wunderraum;Zone Étrange;Zona Extraña;Mirabilzona;ワンダールーム;원더룸;奇妙空间;奇妙空間
Psyshock;Psychic;Psychoschock;Choc Psy;Psicocarga;Psicoshock;サイコショック;사이코쇼크;精神冲击;精神衝擊
Venoshock;Poison;Giftschock;Choc Venin;Carga Tóxica;Velenoshock;ベノムショック;베놈쇼크;毒液冲击;毒液衝擊
Autotomize;Steel;Autotomie;Allègement;Aligerar;Sganciapesi;ボディパージ;바디퍼지;身体轻量化;身體輕量化
Rage Powder;Bug;Wutpulver;Poudre Fureur;Polvo Ira;Polverabbia;いかりのこな;분노가루;愤怒粉;憤怒粉
Telekinesis;Psychic;Telekinese;Lévikinésie;Telequinesis;Telecinesi;テレキネシス;텔레키네시스;意念移物;意念移物
Magic Room;Psychic;Magieraum;Zone Magique;Zona Mágica;Magicozona;マジックルーム;매직룸;魔法空间;魔法空間
Smack Down;Rock;Katapult;Anti-Air;Antiaéreo;Abbattimento;うちおとす;떨어뜨리기;击落;擊落
Storm Throw;Fighting;Bergsturm;Yama Arashi;Llave Corsé;Tempestretta;やまあらし;업어후리기;山岚摔;山嵐摔
Flame Burst;Fire;Funkenflug;Rebondifeu;Pirotecnia;Pirolancio;はじけるほのお;불꽃튀기기;烈焰溅射;烈焰濺射
Sludge Wave;Poison;Schlammwoge;Cradovague;Onda Tóxica;Fangonda;ヘドロウェーブ;오물웨이브;污泥波;污泥波
Quiver Dance;Bug;Falterreigen;Papillodanse;Danza Aleteo;Eledanza;ちょうのまい;나비춤;蝶舞;蝶舞
Heavy Slam;Steel;Rammboss;Tacle Lourd;Cuerpo Pesado;Pesobomba;ヘビーボンバー;헤비봄버;重磅冲撞;重磅衝撞
Synchronoise;Psychic;Synchrolärm;Synchropeine;Sincrorruido;Sincrumore;シンクロノイズ;싱크로노이즈;同步干扰;同步干擾
Electro Ball;Electric;Elektroball;Boule Élek;Bola Voltio;Energisfera;エレキボール;일렉트릭볼;电球;電球
Soak;Water;Überflutung;Détrempage;Empapar;Inondazione;みずびたし;물붓기;浸水;浸水
Flame Charge;Fire;Nitroladung;Nitrocharge;Nitrocarga;Nitrocarica;ニトロチャージ;니트로차지;蓄能焰袭;蓄能焰襲
Coil;Poison;Einrollen;Enroulement;Enrosque;Arrotola;とぐろをまく;똬리틀기;盘蜷;盤蜷
Low Sweep;Fighting;Fußtritt;Balayette;Puntapié;Calciobasso;ローキック;로킥;下盘踢;下盤踢
Acid Spray;Poison;Säurespeier;Bombe Acide;Bomba Ácida;Acidobomba;アシッドボム;애시드봄;酸液炸弹;酸液炸彈
Foul Play;Dark;Schmarotzer;Tricherie;Juego Sucio;Ripicca;イカサマ;속임수;移花接木;欺詐
Simple Beam;Normal;Wankelstrahl;Rayon Simple;Onda Simple;Ondisinvolta;シンプルビーム;심플빔;单纯光束;單純光束
Entrainment;Normal;Zwango;Ten-Danse;Danza Amiga;Saltamicizia;なかまづくり;동료만들기;找伙伴;找夥伴
After You;Normal;Galanterie;Après Vous;Cede Paso;Cortesia;おさきにどうぞ;당신먼저;您先请;您先請
Round;Normal;Kanon;Chant Canon;Canon;Coro;りんしょう;돌림노래;轮唱;輪唱
Echoed Voice;Normal;Widerhall;Écho;Eco Voz;Echeggiavoce;エコーボイス;에코보이스;回声;回聲
Chip Away;Normal;Zermürben;Attrition;Guardia Baja;Insidia;なしくずし;야금야금;逐步击破;逐步擊破
Clear Smog;Poison;Klärsmog;Bain de Smog;Niebla Clara;Pulifumo;クリアスモッグ;클리어스모그;清除之烟;清除之煙
Stored Power;Psychic;Kraftvorrat;Force Ajoutée;Poder Reserva;Veicolaforza;アシストパワー;어시스트파워;辅助力量;輔助力量
Quick Guard;Fighting;Rapidschutz;Prévention;Anticipo;Anticipo;ファストガード;패스트가드;快速防守;快速防守
Ally Switch;Psychic;Seitentausch;Interversion;Cambio de Banda;Cambiaposto;サイドチェンジ;사이드체인지;交换场地;交換場地
Scald;Water;Siedewasser;Ébullition;Escaldar;Idrovampata;ねっとう;열탕;热水;熱水
Shell Smash;Normal;Hausbruch;Exuviation;Rompecoraza;Gettaguscio;からをやぶる;껍질깨기;破壳;破殼
Heal Pulse;Psychic;Heilwoge;Vibra Soin;Pulso Cura;Curapulsar;いやしのはどう;치유파동;治愈波动;治癒波動
Hex;Ghost;Bürde;Châtiment;Infortunio;Sciagura;たたりめ;병상첨병;祸不单行;禍不單行
Sky Drop;Flying;Freier Fall;Chute Libre;Caída Libre;Cadutalibera;フリーフォール;프리폴;自由落体;自由落體
Shift Gear;Steel;Gangwechsel;Change-Vitesse;Cambio de Marcha;Cambiomarcia;ギアチェンジ;기어체인지;换档;換檔
Circle Throw;Fighting;Überkopfwurf;Projection;Llave Giro;Ribaltiro;ともえなげ;배대뒤치기;巴投;巴投
Incinerate;Fire;Einäschern;Calcination;Calcinación;Bruciatutto;やきつくす;불태우기;烧净;燒盡
Quash;Dark;Verzögerung;À la Queue;Último Lugar;Spintone;さきおくり;순서미루기;延后;延後
Acrobatics;Flying;Akrobatik;Acrobatie;Acróbata;Acrobazia;アクロバット;애크러뱃;杂技;雜技
Reflect Type;Normal;Typenspiegel;Copie-Type;Clonatipo;Riflettipo;ミラータイプ;미러타입;镜面属性;鏡面屬性
Retaliate;Normal;Heimzahlung;Vengeance;Represalia;Nemesi;かたきうち;원수갚기;报仇;報仇
Final Gambit;Fighting;Wagemut;Tout ou Rien;Sacrificio;Azzardo;いのちがけ;목숨걸기;搏命;搏命
Bestow;Normal;Offerte;Passe-Cadeau;Ofrenda;Cediregalo;ギフトパス;기프트패스;传递礼物;傳遞禮物
Inferno;Fire;Inferno;Feu d'Enfer;Infierno;Marchiatura;れんごく;연옥;烈火深渊;煉獄
Water Pledge;Water;Wassersäulen;Aire d'Eau;Voto Agua;Acquapatto;みずのちかい;물의맹세;水之誓约;水之誓約
Fire Pledge;Fire;Feuersäulen;Aire de Feu;Voto Fuego;Fiammapatto;ほのおのちかい;불꽃의맹세;火之誓约;火之誓約
Grass Pledge;Grass;Pflanzensäulen;Aire d'Herbe;Voto Planta;Erbapatto;くさのちかい;풀의맹세;草之誓约;草之誓約
Volt Switch;Electric;Voltwechsel;Change-Éclair;Voltiocambio;Invertivolt;ボルトチェンジ;볼트체인지;伏特替换;伏特替換
Struggle Bug;Bug;Käfertrutz;Survinsecte;Estoicismo;Entomoblocco;むしのていこう;벌레의저항;虫之抵抗;蟲之抵抗
Bulldoze;Ground;Dampfwalze;Piétisol;Terratemblor;Battiterra;じならし;땅고르기;重踏;重踏
Frost Breath;Ice;Eisesodem;Souffle Glacé;Vaho Gélido;Alitogelido;こおりのいぶき;얼음숨결;冰息;冰息
Dragon Tail;Dragon;Drachenrute;Draco-Queue;Cola Dragón;Codadrago;ドラゴンテール;드래곤테일;龙尾;龍尾
Work Up;Normal;Kraftschub;Rengorgement;Avivar;Cuordileone;ふるいたてる;분발;自我激励;自我激勵
Electroweb;Electric;Elektronetz;Toile Élek;Electrotela;Elettrotela;エレキネット;일렉트릭네트;电网;電網
Wild Charge;Electric;Stromstoß;Éclair Fou;Voltio Cruel;Sprizzalampo;ワイルドボルト;와일드볼트;疯狂伏特;瘋狂伏特
Drill Run;Ground;Schlagbohrer;Tunnelier;Taladradora;Giravvita;ドリルライナー;드릴라이너;直冲钻;直衝鑽
Dual Chop;Dragon;Doppelhieb;Double Baffe;Golpe Bis;Doppiocolpo;ダブルチョップ;더블촙;二连劈;二連劈
Heart Stamp;Psychic;Herzstempel;Crève-Cœur;Arrumaco;Cuorestampo;ハートスタンプ;하트스탬프;爱心印章;愛心印章
Horn Leech;Grass;Holzgeweih;Encornebois;Asta Drenaje;Legnicorno;ウッドホーン;우드혼;木角;木角
Sacred Sword;Fighting;Sanctoklinge;Lame Sainte;Espada Santa;Spadasolenne;せいなるつるぎ;성스러운칼;圣剑;聖劍
Razor Shell;Water;Kalkklinge;Coqui-Lame;Concha Filo;Conchilama;シェルブレード;셸블레이드;贝壳刃;貝殼刃
Heat Crash;Fire;Brandstempel;Tacle Feu;Golpe Calor;Marchiafuoco;ヒートスタンプ;히트스탬프;高温重压;高溫重壓
Leaf Tornado;Grass;Grasmixer;Phytomixeur;Ciclón de Hojas;Vorticerba;グラスミキサー;그래스믹서;青草搅拌器;青草攪拌器
Steamroller;Bug;Quetschwalze;Bulldoboule;Rodillo de Púas;Rulloduro;ハードローラー;하드롤러;疯狂滚压;瘋狂滾壓
Cotton Guard;Grass;Watteschild;Cotogarde;Rizo Algodón;Cotonscudo;コットンガード;코튼가드;棉花防守;棉花防守
Night Daze;Dark;Nachtflut;Explonuit;Pulso Noche;Urtoscuro;ナイトバースト;나이트버스트;暗黑爆破;暗黑爆破
Psystrike;Psychic;Psychostoß;Frappe Psy;Onda Mental;Psicobotta;サイコブレイク;사이코브레이크;精神击破;精神擊破
Tail Slap;Normal;Kehrschelle;Plumo-Queue;Plumerazo;Spazzasberla;スイープビンタ;스위프뺨치기;扫尾拍打;掃尾拍打
Hurricane;Flying;Orkan;Vent Violent;Vendaval;Tifone;ぼうふう;폭풍;暴风;暴風
Head Charge;Normal;Steinschädel;Peignée;Ariete;Ricciolata;アフロブレイク;아프로브레이크;爆炸头突击;爆炸頭突擊
Gear Grind;Steel;Klikkdiskus;Lancécrou;Rueda Doble;Ingracolpo;ギアソーサー;기어소서;齿轮飞盘;齒輪飛盤
Searing Shot;Fire;Flammenball;Incendie;Bomba Ígnea;Sparafuoco;かえんだん;화염탄;火焰弹;火焰彈
Techno Blast;Normal;Techblaster;Techno-Buster;Tecno Shock;Tecnobotto;テクノバスター;테크노버스터;高科技光炮;高科技光炮
Relic Song;Normal;Urgesang;Chant Antique;Canto Arcaico;Cantoantico;いにしえのうた;옛노래;古老之歌;古老之歌
Secret Sword;Fighting;Mystoschwert;Lame Ointe;Sable Místico;Spadamistica;しんぴのつるぎ;신비의칼;神秘之剑;神秘之劍
Glaciate;Ice;Eiszeit;Ère Glaciaire;Mundo Gélido;Gelamondo;こごえるせかい;얼어붙은세계;冰封世界;冰封世界
Bolt Strike;Electric;Blitzschlag;Charge Foudre;Ataque Fulgor;Lucesiluro;らいげき;뇌격;雷击;雷擊
Blue Flare;Fire;Blauflammen;Flamme Bleue;Llama Azul;Fuocoblu;あおいほのお;푸른불꽃;青焰;青焰
Fiery Dance;Fire;Feuerreigen;Danse du Feu;Danza Llama;Voldifuoco;ほのおのまい;불꽃춤;火之舞;火之舞
Freeze Shock;Ice;Frostvolt;Éclair Gelé;Rayo Gélido;Elettrogelo;フリーズボルト;프리즈볼트;冰冻伏特;冰凍伏特
Ice Burn;Ice;Frosthauch;Feu Glacé;Llama Gélida;Vampagelida;コールドフレア;콜드플레어;极寒冷焰;極寒冷焰
Snarl;Dark;Standpauke;Aboiement;Alarido;Urlorabbia;バークアウト;바크아웃;大声咆哮;大聲咆哮
Icicle Crash;Ice;Eiszapfhagel;Chute Glace;Chuzos;Scagliagelo;つららおとし;고드름떨구기;冰柱坠击;冰柱墜擊
V-create;Fire;V-Generator;Coup Victoire;V de Fuego;Generatore V;Ｖジェネレート;V제너레이트;Ｖ热焰;Ｖ熱焰
Fusion Flare;Fire;Kreuzflamme;Flamme Croix;Llama Fusión;Incrofiamma;クロスフレイム;크로스플레임;交错火焰;交錯火焰
Fusion Bolt;Electric;Kreuzdonner;Éclair Croix;Rayo Fusión;Incrotuono;クロスサンダー;크로스썬더;交错闪电;交錯閃電
Flying Press;Fighting;Flying Press;Flying Press;Plancha Voladora;Schiacciatuffo;フライングプレス;플라잉프레스;飞身重压;飛身重壓
Mat Block;Fighting;Tatami-Schild;Tatamigaeshi;Escudo Tatami;Ribaltappeto;たたみがえし;마룻바닥세워막기;掀榻榻米;掀榻榻米
Belch;Poison;Rülpser;Éructation;Eructo;Rutto;ゲップ;트림;打嗝;打嗝
Rototiller;Ground;Pflüger;Fertilisation;Fertilizante;Aracampo;たがやす;일구기;耕地;耕地
Sticky Web;Bug;Klebenetz;Toile Gluante;Red Viscosa;Rete Vischiosa;ねばねばネット;끈적끈적네트;黏黏网;黏黏網
Fell Stinger;Bug;Stachelfinale;Dard Mortel;Aguijón Letal;Pungiglione;とどめばり;마지막일침;致命针刺;致命針刺
Phantom Force;Ghost;Phantomkraft;Hantise;Golpe Fantasma;Spettrotuffo;ゴーストダイブ;고스트다이브;潜灵奇袭;潛靈奇襲
Trick-or-Treat;Ghost;Halloween;Halloween;Halloween;Halloween;ハロウィン;핼러윈;万圣夜;萬聖夜
Noble Roar;Normal;Kampfgebrüll;Râle Mâle;Rugido de Guerra;Urlo;おたけび;부르짖기;战吼;戰吼
Ion Deluge;Electric;Plasmaschauer;Déluge Plasmique;Cortina Plasma;Pioggiaplasma;プラズマシャワー;플라스마샤워;等离子浴;等離子浴
Parabolic Charge;Electric;Parabolladung;Parabocharge;Carga Parábola;Caricaparabola;パラボラチャージ;파라볼라차지;抛物面充电;拋物面充電
Forest's Curse;Grass;Waldesfluch;Maléfice Sylvain;Condena Silvana;Boscomalocchio;もりののろい;숲의저주;森林咒术;森林詛咒
Petal Blizzard;Grass;Blütenwirbel;Tempête Florale;Tormenta Floral;Fiortempesta;はなふぶき;꽃보라;落英缤纷;落英繽紛
Freeze-Dry;Ice;Gefriertrockner;Lyophilisation;Liofilización;Liofilizzazione;フリーズドライ;프리즈드라이;冷冻干燥;冷凍乾燥
Disarming Voice;Fairy;Säuselstimme;Voix Enjôleuse;Voz Cautivadora;Incantavoce;チャームボイス;차밍보이스;魅惑之声;魅惑之聲
Parting Shot;Dark;Abgangstirade;Dernier Mot;Última Palabra;Monito;すてゼリフ;막말내뱉기;抛下狠话;拋下狠話
Topsy-Turvy;Dark;Invertigo;Renversement;Reversión;Sottosopra;ひっくりかえす;뒤집어엎기;颠倒;顛倒
Draining Kiss;Fairy;Diebeskuss;Vampibaiser;Beso Drenaje;Assorbibacio;ドレインキッス;드레인키스;吸取之吻;吸取之吻
Crafty Shield;Fairy;Trickschutz;Vigilance;Truco Defensa;Truccodifesa;トリックガード;트릭가드;戏法防守;戲法防守
Flower Shield;Fairy;Floraschutz;Garde Florale;Defensa Floral;Fiordifesa;フラワーガード;플라워가드;鲜花防守;鮮花防守
Grassy Terrain;Grass;Grasfeld;Champ Herbu;Campo de Hierba;Campo Erboso;グラスフィールド;그래스필드;青草场地;青草場地
Misty Terrain;Fairy;Nebelfeld;Champ Brumeux;Campo de Niebla;Campo Nebbioso;ミストフィールド;미스트필드;薄雾场地;薄霧場地
Electrify;Electric;Elektrifizierung;Électrisation;Electrificación;Elettrocontagio;そうでん;송전;输电;輸電
Play Rough;Fairy;Knuddler;Câlinerie;Carantoña;Carineria;じゃれつく;치근거리기;嬉闹;嬉鬧
Fairy Wind;Fairy;Feenbrise;Vent Féérique;Viento Feérico;Vento di Fata;ようせいのかぜ;요정의바람;妖精之风;妖精之風
Moonblast;Fairy;Mondgewalt;Pouvoir Lunaire;Fuerza Lunar;Forza Lunare;ムーンフォース;문포스;月亮之力;月亮之力
Boomburst;Normal;Überschallknall;Bang Sonique;Estruendo;Ondaboato;ばくおんぱ;폭음파;爆音波;爆音波
Fairy Lock;Fairy;Feenschloss;Verrou Enchanté;Cerrojo Feérico;Blocco Fatato;フェアリーロック;페어리록;妖精之锁;妖精之鎖
King's Shield;Steel;Königsschild;Bouclier Royal;Escudo Real;Scudo Reale;キングシールド;킹실드;王者盾牌;王者盾牌
Play Nice;Normal;Kameradschaft;Camaraderie;Camaradería;Simpatia;なかよくする;친해지기;和睦相处;和睦相處
Confide;Normal;Vertrauenssache;Confidence;Confidencia;Confidenza;ないしょばなし;비밀이야기;密语;密語
Diamond Storm;Rock;Diamantsturm;Orage Adamantin;Torm. Diamantes;Diamantempesta;ダイヤストーム;다이아스톰;钻石风暴;鑽石風暴
Steam Eruption;Water;Dampfschwall;Jet de Vapeur;Chorro de Vapor;Vaporscoppio;スチームバースト;스팀버스트;蒸汽爆炸;蒸汽爆炸
Hyperspace Hole;Psychic;Dimensionsloch;TrouDimensionnel;Paso Dimensional;Forodimensionale;いじげんホール;이차원홀;异次元洞;異次元洞
Water Shuriken;Water;Wasser-Shuriken;Sheauriken;Shuriken de Agua;Acqualame;みずしゅりけん;물수리검;飞水手里剑;飛水手裡劍
Mystical Fire;Fire;Magieflamme;Feu Ensorcelé;Llama Embrujada;Magifiamma;マジカルフレイム;매지컬플레임;魔法火焰;魔法火焰
Spiky Shield;Grass;Schutzstacheln;Pico-Défense;Barrera Espinosa;Agodifesa;ニードルガード;니들가드;尖刺防守;尖刺防守
Aromatic Mist;Fairy;Duftwolke;Brume Capiteuse;Niebla Aromática;Nebularoma;アロマミスト;아로마미스트;芳香薄雾;芳香薄霧
Eerie Impulse;Electric;Mystowellen;Ondes Étranges;Onda Anómala;Elettromistero;かいでんぱ;괴전파;怪异电波;怪異電波
Venom Drench;Poison;Giftfalle;Piège de Venin;Trampa Venenosa;Velenotrappola;ベノムトラップ;베놈트랩;毒液陷阱;毒液陷阱
Powder;Bug;Pulverschleuder;Nuée de Poudre;Polvo Explosivo;Pulviscoppio;ふんじん;분진;粉尘;粉塵
Geomancy;Fairy;Geokontrolle;Géo-Contrôle;Geocontrol;Geocontrollo;ジオコントロール;지오컨트롤;大地掌控;大地掌控
Magnetic Flux;Electric;Magnetregler;Magné-Contrôle;Aura Magnética;Controllo Polare;じばそうさ;자기장조작;磁场操控;磁場操控
Happy Hour;Normal;Goldene Zeiten;Étrennes;Paga Extra;Cuccagna;ハッピータイム;해피타임;欢乐时光;歡樂時光
Electric Terrain;Electric;Elektrofeld;Champ Électrifié;Campo Eléctrico;Campo Elettrico;エレキフィールド;일렉트릭필드;电气场地;電氣場地
Dazzling Gleam;Fairy;Zauberschein;Éclat Magique;Brillo Mágico;Magibrillio;マジカルシャイン;매지컬샤인;魔法闪耀;魔法閃耀
Celebrate;Normal;Ehrentag;Célébration;Celebración;Auguri;おいわい;축하;庆祝;慶祝
Hold Hands;Normal;Händchenhalten;Mains Jointes;Manos Juntas;Mano nella Mano;てをつなぐ;손에손잡기;牵手;牽手
Baby-Doll Eyes;Fairy;Kulleraugen;Regard Touchant;Ojitos Tiernos;Occhioni Teneri;つぶらなひとみ;초롱초롱눈동자;圆瞳;圓瞳
Nuzzle;Electric;Wangenrubbler;Frotte-Frimousse;Moflete Estático;Elettrococcola;ほっぺすりすり;볼부비부비;蹭蹭脸颊;蹭蹭臉頰
Hold Back;Normal;Zurückhaltung;Retenue;Clemencia;Riguardo;てかげん;적당히손봐주기;手下留情;手下留情
Infestation;Bug;Plage;Harcèlement;Acoso;Assillo;まとわりつく;엉겨붙기;纠缠不休;死纏爛打
Power-Up Punch;Fighting;Steigerungshieb;Poing Boost;Puño Incremento;Crescipugno;グロウパンチ;그로우펀치;增强拳;增強拳
Oblivion Wing;Flying;Unheilsschwingen;Mort'Ailes;Ala Mortífera;Ali del Fato;デスウイング;데스윙;归天之翼;死亡之翼
Thousand Arrows;Ground;Tausend Pfeile;Myria-Flèches;Mil Flechas;Mille Frecce;サウザンアロー;사우전드애로;千箭齐发;千箭齊發
Thousand Waves;Ground;Tausend Wellen;Myria-Vagues;Mil Temblores;Mille Onde;サウザンウェーブ;사우전드웨이브;千波激荡;千波激盪
Land's Wrath;Ground;Bodengewalt;Force Chtonienne;Fuerza Telúrica;Forza Tellurica;グランドフォース;그라운드포스;大地神力;大地神力
Light of Ruin;Fairy;Lux Calamitatis;Lumière du Néant;Luz Aniquiladora;Luce Nefasta;はめつのひかり;파멸의빛;破灭之光;破滅之光
Origin Pulse;Water;Ursprungswoge;Onde Originelle;Pulso Primigenio;Primopulsar;こんげんのはどう;근원의파동;根源波动;根源波動
Precipice Blades;Ground;Abgrundsklinge;Lame Pangéenne;Filo del Abismo;Spade Telluriche;だんがいのつるぎ;단애의칼;断崖之剑;斷崖之劍
Dragon Ascent;Flying;Zenitstürmer;Draco-Ascension;Ascenso Draco;Ascesa del Drago;ガリョウテンセイ;화룡점정;画龙点睛;畫龍點睛
Hyperspace Fury;Dark;Dimensionswahn;Furie Dimension;Cerco Dimensión;Urtodimensionale;いじげんラッシュ;이차원러시;异次元猛攻;異次元猛攻
Breakneck Blitz;Normal;Hyper-Sprintangriff;Turbo-Charge Bulldozer;Carrera Arrolladora;Carica Travolgente;ウルトラダッシュアタック;울트라대시어택;究极无敌大冲撞;究極無敵大衝撞
Breakneck Blitz;Normal;Hyper-Sprintangriff;Turbo-Charge Bulldozer;Carrera Arrolladora;Carica Travolgente;ウルトラダッシュアタック;울트라대시어택;究极无敌大冲撞;究極無敵大衝撞
All-Out Pummeling;Fighting;Fulminante Faustschläge;Combo Hyper-Furie;Ráfaga Demoledora;Iperscarica Furiosa;ぜんりょくむそうげきれつけん;전력무쌍격렬권;全力无双激烈拳;全力無雙激烈拳
All-Out Pummeling;Fighting;Fulminante Faustschläge;Combo Hyper-Furie;Ráfaga Demoledora;Iperscarica Furiosa;ぜんりょくむそうげきれつけん;전력무쌍격렬권;全力无双激烈拳;全力無雙激烈拳
Supersonic Skystrike;Flying;Finaler Steilflug;Piqué Supersonique;Picado Supersónico;Picchiata Devastante;ファイナルダイブクラッシュ;파이널다이브클래시;极速俯冲轰烈撞;極速俯衝轟烈撞
Supersonic Skystrike;Flying;Finaler Steilflug;Piqué Supersonique;Picado Supersónico;Picchiata Devastante;ファイナルダイブクラッシュ;파이널다이브클래시;极速俯冲轰烈撞;極速俯衝轟烈撞
Acid Downpour;Poison;Vernichtender Säureregen;Déluge Causti-Toxique;Diluvio Corrosivo;Acidiluvio Corrosivo;アシッドポイズンデリート;애시드포이즌딜리트;强酸剧毒灭绝雨;強酸劇毒滅絕雨
Acid Downpour;Poison;Vernichtender Säureregen;Déluge Causti-Toxique;Diluvio Corrosivo;Acidiluvio Corrosivo;アシッドポイズンデリート;애시드포이즌딜리트;强酸剧毒灭绝雨;強酸劇毒滅絕雨
Tectonic Rage;Ground;Seismische Eruption;Éruption Géo-Sismique;Barrena Telúrica;Furore della Terra;ライジングランドオーバー;라이징랜드오버;地隆啸天大终结;地隆嘯天大終結
Tectonic Rage;Ground;Seismische Eruption;Éruption Géo-Sismique;Barrena Telúrica;Furore della Terra;ライジングランドオーバー;라이징랜드오버;地隆啸天大终结;地隆嘯天大終結
Continental Crush;Rock;Apokalyptische Steinpresse;Apocalypse Gigalithique;Aplastamiento Gigalítico;Gigamacigno Polverizzante;ワールズエンドフォール;월즈엔드폴;毁天灭地巨岩坠;毀天滅地巨岩墜
Continental Crush;Rock;Apokalyptische Steinpresse;Apocalypse Gigalithique;Aplastamiento Gigalítico;Gigamacigno Polverizzante;ワールズエンドフォール;월즈엔드폴;毁天灭地巨岩坠;毀天滅地巨岩墜
Savage Spin-Out;Bug;Wirbelnder Insektenhieb;Cocon Fatal;Guadaña Sedosa;Bozzolo Fatale;ぜったいほしょくかいてんざん;절대포식회전참;绝对捕食回旋斩;絕對捕食迴旋斬
Savage Spin-Out;Bug;Wirbelnder Insektenhieb;Cocon Fatal;Guadaña Sedosa;Bozzolo Fatale;ぜったいほしょくかいてんざん;절대포식회전참;绝对捕食回旋斩;絕對捕食迴旋斬
Never-Ending Nightmare;Ghost;Ewige Nacht;Appel des Ombres Éternelles;Presa Espectral;Abbraccio Spettrale;むげんあんやへのいざない;무한암야로의유인;无尽暗夜之诱惑;無盡暗夜之誘惑
Never-Ending Nightmare;Ghost;Ewige Nacht;Appel des Ombres Éternelles;Presa Espectral;Abbraccio Spettrale;むげんあんやへのいざない;무한암야로의유인;无尽暗夜之诱惑;無盡暗夜之誘惑
Corkscrew Crash;Steel;Turbo-Spiralkombo;Vrille Maximum;Hélice Trepanadora;Spirale Perforante;ちょうぜつらせんれんげき;초월나선연격;超绝螺旋连击;超絕螺旋連擊
Corkscrew Crash;Steel;Turbo-Spiralkombo;Vrille Maximum;Hélice Trepanadora;Spirale Perforante;ちょうぜつらせんれんげき;초월나선연격;超绝螺旋连击;超絕螺旋連擊
Inferno Overdrive;Fire;Dynamische Maxiflamme;Pyro-Explosion Cataclysmique;Hecatombe Pírica;Fiammobomba Detonante;ダイナミックフルフレイム;다이내믹풀플레임;超强极限爆焰弹;超強極限爆焰彈
Inferno Overdrive;Fire;Dynamische Maxiflamme;Pyro-Explosion Cataclysmique;Hecatombe Pírica;Fiammobomba Detonante;ダイナミックフルフレイム;다이내믹풀플레임;超强极限爆焰弹;超強極限爆焰彈
Hydro Vortex;Water;Super-Wassertornado;Super Tourbillon Abyssal;Hidrovórtice Abisal;Idrovortice Abissale;スーパーアクアトルネード;슈퍼아쿠아토네이도;超级水流大漩涡;超級水流大漩渦
Hydro Vortex;Water;Super-Wassertornado;Super Tourbillon Abyssal;Hidrovórtice Abisal;Idrovortice Abissale;スーパーアクアトルネード;슈퍼아쿠아토네이도;超级水流大漩涡;超級水流大漩渦
Bloom Doom;Grass;Brillante Blütenpracht;Pétalexplosion Éblouissante;Megatón Floral;Floriscoppio Sfolgorante;ブルームシャインエクストラ;블룸샤인엑스트라;绚烂缤纷花怒放;絢爛繽紛花怒放
Bloom Doom;Grass;Brillante Blütenpracht;Pétalexplosion Éblouissante;Megatón Floral;Floriscoppio Sfolgorante;ブルームシャインエクストラ;블룸샤인엑스트라;绚烂缤纷花怒放;絢爛繽紛花怒放
Gigavolt Havoc;Electric;Gigavolt-Funkensalve;Fulguro-Lance Gigavolt;Gigavoltio Destructor;Gigascarica Folgorante;スパーキングギガボルト;스파킹기가볼트;终极伏特狂雷闪;終極伏特狂雷閃
